trial_nr	onset	event_type	phase	response	nr_frames	block_type	trial_type	color_comb	response_hand	phase_duration	onset_abs	duration
41	205.038556098938	face	0	3	246	unambiguous	face	redhouse	left	2.047024140815908	1967.0342180728912	0.9580819606781006
42	205.9966380596161	stim	0		235	unambiguous	house	redhouse	left	1.9639122841081318	1967.9923000335693	1.9587368965148926
43	207.95537495613098	stim	0		241	unambiguous	face	redhouse	left	2.0047666840078944	1969.9510369300842	2.008726119995117
44	209.9641010761261	stim	0		243	unambiguous	house	redhouse	left	2.0363226043372995	1971.9597630500793	2.033496856689453
45	211.99759793281555	stim	0		238	unambiguous	face	redhouse	left	1.9883565266822674	1973.9932599067688	1.9883520603179932
46	213.98594999313354	stim	0		0	unambiguous	house	redhouse	left	2.0359409112337525	1975.9816119670868	0.8787269592285156
46	214.86467695236206	house	0	3	243	unambiguous	house	redhouse	left	2.0359409112337525	1976.8603389263153	1.1544561386108398
47	216.0191330909729	stim	0		0	unambiguous	face	redhouse	left	1.968889376043125	1978.0147950649261	0.4622049331665039
47	216.4813380241394	face	0	3	236	unambiguous	face	redhouse	left	1.968889376043125	1978.4769999980927	1.5126478672027588
48	217.99398589134216	stim	0		0	unambiguous	house	redhouse	left	1.9796480696678533	1979.9896478652954	0.5961081981658936
48	218.59009408950806	house	0	3	236	unambiguous	house	redhouse	left	1.9796480696678533	1980.5857560634613	1.3788039684295654
49	219.96889805793762	stim	0		0	unambiguous	face	redhouse	left	2.0312649352971026	1981.9645600318909	0.4213569164276123
49	220.39025497436523	face	0	3	243	unambiguous	face	redhouse	left	2.0312649352971026	1982.3859169483185	1.611886978149414
50	222.00214195251465	stim	0		0	unambiguous	house	redhouse	left	1.9861256422696707	1983.997803926468	0.5550820827484131
50	222.55722403526306	house	0	3	237	unambiguous	house	redhouse	left	1.9861256422696707	1984.5528860092163	1.4281258583068848
51	223.98534989356995	stim	0		0	unambiguous	face	redhouse	left	1.9682412596559153	1985.9810118675232	0.3055410385131836
51	224.29089093208313	face	0	3	235	unambiguous	face	redhouse	left	1.9682412596559153	1986.2865529060364	1.6609129905700684
52	225.9518039226532	stim	0		0	unambiguous	house	redhouse	left	2.007949690891565	1987.9474658966064	0.4583470821380615
52	226.41015100479126	house	0	3	240	unambiguous	house	redhouse	left	2.007949690891565	1988.4058129787445	1.5498499870300293
53	227.9600009918213	stim	0		0	unambiguous	face	redhouse	left	1.974327706654893	1989.9556629657745	0.5333499908447266
53	228.49335098266602	face	0	3	237	unambiguous	face	redhouse	left	1.974327706654893	1990.4890129566193	1.44138503074646
54	229.93473601341248	stim	0		0	unambiguous	house	redhouse	left	2.047084633489708	1991.9303979873657	0.38338398933410645
54	230.31812000274658	house	0	3	246	unambiguous	house	redhouse	left	2.047084633489708	1992.3137819766998	1.6664659976959229
55	231.9845860004425	stim	0		0	unambiguous	face	redhouse	left	1.957044773599384	1993.9802479743958	0.5917420387268066
55	232.5763280391693	face	0	3	235	unambiguous	face	redhouse	left	1.957044773599384	1994.5719900131226	1.3665480613708496
56	233.94287610054016	stim	0		0	unambiguous	house	redhouse	left	1.9930104544905756	1995.9385380744934	0.5084068775177002
56	234.45128297805786	house	0	3	239	unambiguous	house	redhouse	left	1.9930104544905756	1996.446944952011	1.4833669662475586
57	235.93464994430542	stim	0		0	unambiguous	face	redhouse	left	2.0423974345663316	1997.9303119182587	0.47505712509155273
57	236.40970706939697	face	0	3	245	unambiguous	face	redhouse	left	2.0423974345663316	1998.4053690433502	1.5665860176086426
58	237.97629308700562	stim	0		0	unambiguous	house	redhouse	left	2.001225280192135	1999.9719550609589	0.3417518138885498
58	238.31804490089417	house	0	3	240	unambiguous	house	redhouse	left	2.001225280192135	2000.3137068748474	1.6583590507507324
59	239.9764039516449	stim	0		0	unambiguous	face	redhouse	left	2.022867437489714	2001.9720659255981	0.38347911834716797
59	240.35988306999207	face	0	3	243	unambiguous	face	redhouse	left	2.022867437489714	2002.3555450439453	1.6418449878692627
60	242.00172805786133	stim	0		0	unambiguous	house	redhouse	left	1.9788303586162042	2003.9973900318146	0.2917759418487549
60	242.29350399971008	house	0	3	237	unambiguous	house	redhouse	left	1.9788303586162042	2004.2891659736633	1.683577060699463
61	243.97708106040955	stim	0		0	unambiguous	face	redhouse	left	1.9867647826442356	2005.9727430343628	0.5417859554290771
61	244.51886701583862	face	0	3	238	unambiguous	face	redhouse	left	1.9867647826442356	2006.5145289897919	1.4501290321350098
62	245.96899604797363	stim	0		3	unambiguous	house	redhouse	left	0.03577318617269043	2007.9646580219269	0.033514976501464844
0	246.0025110244751	stim	0		359	break	break	break	left	3.0	2007.9981729984283	3.0003268718719482
63	249.00283789634705	stim	0		0	rivalry	house_face	rivalry_redhouse	left	120.0	2010.9984998703003	2.263533115386963
63	251.266371011734	house_face	0	3	0	rivalry	house_face	rivalry_redhouse	left	120.0	2013.2620329856873	1.6790180206298828
63	252.9453890323639	house_face	0	3	0	rivalry	house_face	rivalry_redhouse	left	120.0	2014.9410510063171	2.5456089973449707
63	255.49099802970886	house_face	0	3	0	rivalry	house_face	rivalry_redhouse	left	120.0	2017.486660003662	1.4627399444580078
63	256.95373797416687	house_face	0	3	0	rivalry	house_face	rivalry_redhouse	left	120.0	2018.9493999481201	1.4371330738067627
63	258.39087104797363	house_face	0	3	0	rivalry	house_face	rivalry_redhouse	left	120.0	2020.3865330219269	1.8800840377807617
63	260.2709550857544	house_face	0	3	0	rivalry	house_face	rivalry_redhouse	left	120.0	2022.2666170597076	1.2698218822479248
63	261.5407769680023	house_face	0	3	0	rivalry	house_face	rivalry_redhouse	left	120.0	2023.5364389419556	2.3162729740142822
63	263.8570499420166	house_face	0	3	0	rivalry	house_face	rivalry_redhouse	left	120.0	2025.8527119159698	4.382943153381348
63	268.23999309539795	house_face	0	3	0	rivalry	house_face	rivalry_redhouse	left	120.0	2030.2356550693512	4.741627931594849
63	272.9816210269928	house_face	0	3	0	rivalry	house_face	rivalry_redhouse	left	120.0	2034.977283000946	1.4083349704742432
63	274.38995599746704	house_face	0	3	0	rivalry	house_face	rivalry_redhouse	left	120.0	2036.3856179714203	1.2750439643859863
63	275.664999961853	house_face	0	3	0	rivalry	house_face	rivalry_redhouse	left	120.0	2037.6606619358063	1.475003957748413
63	277.14000391960144	house_face	0	3	0	rivalry	house_face	rivalry_redhouse	left	120.0	2039.1356658935547	1.3336000442504883
63	278.47360396385193	house_face	0	3	0	rivalry	house_face	rivalry_redhouse	left	120.0	2040.4692659378052	2.0003249645233154
63	280.47392892837524	house_face	0	3	0	rivalry	house_face	rivalry_redhouse	left	120.0	2042.4695909023285	1.425163984298706
63	281.89909291267395	house_face	0	3	0	rivalry	house_face	rivalry_redhouse	left	120.0	2043.8947548866272	2.8338871002197266
